0.22685,0.61358,0.72812,0.60635,0.75146,0.90472,0.80343,0.90472,0.72812,0.95211,0.80838,0.86456,0.71681,0.95211,0.95211,0.95211,0.86456,0.95211,0.95211,0.95211
-0.03152,0.37621,0.37621,0.39346,0.58786,0.66971,0.75303,0.63346,0.6672,0.77731,0.87424,0.69299,0.78286,0.8282,0.94087,0.94087,0.94087,0.94087,0.89209,0.94087
0.21296,0.21296,0.45265,0.69596,0.75297,0.48112,0.7787,0.68187,0.78802,0.57843,0.73819,0.81148,0.79954,0.81442,0.83884,0.84519,0.90051,0.90051,0.93556,0.93556
-0.046102,0.21731,0.54375,0.38189,0.67525,0.57996,0.6448,0.71524,0.58353,0.74919,0.79213,0.79144,0.83931,0.77014,0.7995,0.79451,0.86373,0.91743,0.91743,0.91743
-0.053233,0.068773,0.23283,0.34814,0.42285,0.55203,0.49849,0.50536,0.54349,0.7334,0.72299,0.76179,0.76259,0.76682,0.82761,0.73819,0.82876,0.9174,0.9174,0.9174
-0.060295,0.17001,0.45535,0.24268,0.31368,0.57229,0.62248,0.67937,0.71268,0.69484,0.7579,0.75975,0.75604,0.67503,0.79503,0.76838,0.81105,0.89504,0.91641,0.89609
-0.0097198,-0.025883,0.28576,0.29505,0.44247,0.56877,0.65978,0.63451,0.67506,0.63663,0.76703,0.73638,0.81474,0.88705,0.79217,0.82137,0.8045,0.82855,0.89419,0.91393
0.14778,0.052445,0.322,0.31014,0.41575,0.1211,0.51064,0.54488,0.52103,0.5812,0.79401,0.66696,0.78611,0.82039,0.81839,0.86509,0.8305,0.84757,0.86509,0.88662
0.10416,0.1841,0.38537,0.27308,0.098787,0.35883,0.51683,0.6025,0.57379,0.55283,0.67344,0.72848,0.73859,0.79246,0.82713,0.81483,0.77356,0.86095,0.87842,0.89632
0.10164,0.11298,0.087499,0.21666,0.42857,0.3915,0.49276,0.44781,0.46192,0.63693,0.60723,0.7355,0.77904,0.81133,0.83973,0.83355,0.79921,0.83355,0.86763,0.88516
