NaN,NaN,0.43809,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657
-0.023057,0.43809,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657,0.76657
NaN,0.29496,0.6227,0.43809,0.88976,0.88976,0.88976,0.88976,0.88976,0.88976,0.88976
0.6227,0.76657,0.6227,1,1,1,1,1,1,0.88976,1
0.43809,0.43809,0.6227,0.6227,0.6227,0.6227,0.6227,0.6227,0.76657,0.76657,0.76657
0.43809,0.88976,0.88976,1,1,1,1,0.88976,1,1,0.88976
NaN,NaN,0.39781,0.69609,0.69609,0.69609,0.69609,0.69609,0.69609,0.69609,0.69609
-0.025392,0.69609,0.80795,0.80795,0.90805,0.90805,0.90805,0.90805,1,0.90805,1
NaN,0.26468,0.56544,0.39781,0.80795,0.80795,0.80795,0.80795,0.80795,0.80795,0.80795
0.56544,0.69609,0.56544,0.90805,0.90805,0.90805,1,0.90805,1,0.90805,1
0.39781,0.80795,0.80795,0.90805,0.90805,0.90805,0.90805,0.80795,0.90805,0.90805,0.80795
NaN,NaN,0.36633,0.64101,0.64101,0.64101,0.64101,0.64101,0.64101,0.64101,0.64101
-0.027573,0.64101,0.74402,0.74402,0.83621,0.83621,0.83621,0.83621,0.92088,0.83621,0.83621
0.52071,0.64101,0.64101,0.64101,0.64101,0.64101,0.64101,0.64101,0.83621,0.83621,0.83621
0.36633,0.74402,0.74402,0.83621,0.83621,0.83621,0.92088,0.92088,0.92088,1,1
-0.029637,0.59638,0.69222,0.69222,0.77799,0.77799,0.77799,0.77799,0.85676,0.77799,0.77799
0.48445,0.59638,0.59638,0.59638,0.59638,0.59638,0.59638,0.59638,0.85676,0.93037,1
0.34082,0.69222,0.69222,0.77799,0.77799,1,1,1,1,1,1
0.31958,0.64907,0.64907,0.7295,0.7295,0.93767,0.93767,0.93767,0.93767,0.93767,0.93767
0.42857,0.52759,0.52759,0.68825,0.75794,0.75794,0.75794,0.82305,0.82305,0.82305,0.82305
-0.033501,0.52759,0.61237,0.61237,0.61237,0.68825,0.68825,0.68825,0.75794,0.61237,0.68825
0.42857,0.52759,0.42857,0.75794,0.75794,0.82305,0.82305,0.88465,0.94346,0.94346,1
0.42857,0.42857,0.42857,0.52759,0.52759,0.52759,0.94346,1,1,1,1
-0.037113,0.47624,0.55277,0.55277,0.62126,0.62126,0.62126,0.68417,0.68417,0.68417,0.68417
0.27217,0.55277,0.55277,0.79855,0.79855,0.79855,0.79855,0.85163,0.90267,0.90267,0.90267
0.26,0.52806,0.52806,0.76285,0.76285,0.76285,0.76285,0.76285,0.81356,0.86232,0.86232
0.2491,0.43587,0.5686,0.67997,0.67997,0.87134,0.91524,1,1,1,1
0.35407,0.43587,0.62618,0.77945,0.77945,0.77945,0.77945,0.82616,0.82616,0.95807,1
0.23925,0.34007,0.60142,0.79349,0.92019,1,1,1,1,1,1
0.34007,0.41864,0.60142,0.74863,0.74863,0.74863,0.74863,0.79349,0.79349,0.92019,0.96046
0.23028,0.32733,0.57888,0.72058,0.88571,0.96253,0.96253,0.96253,0.96253,0.96253,0.96253
0.31566,0.38859,0.55825,0.69489,0.69489,0.69489,0.69489,0.77681,0.77681,0.89152,0.89152
0.21451,0.30491,0.58557,0.78817,0.93152,0.93152,0.93152,0.93152,0.93152,0.93152,0.93152
0.20751,0.29496,0.56647,0.72588,0.90113,0.90113,0.90113,0.90113,0.90113,0.90113,0.90113
0.20101,0.28571,0.5487,0.70312,0.87287,0.87287,0.87287,0.87287,0.87287,0.87287,0.87287
0.20101,0.28571,0.28571,0.50529,0.50529,0.80695,0.90514,0.90514,0.90514,0.90514,0.90514
0.15352,0.26864,0.3118,0.45044,0.50918,0.50918,0.59047,0.69131,0.71568,0.88192,0.92899
0.14994,0.26237,0.30454,0.43994,0.5245,0.4973,0.55093,0.72257,0.67519,0.86136,0.90733
0.14003,0.2844,0.24502,0.38224,0.46442,0.46442,0.5145,0.60807,0.67479,0.9121,0.93388
0.13696,0.27817,0.23966,0.37388,0.45426,0.45426,0.52679,0.59476,0.66002,0.89214,0.93485
0.13401,0.27217,0.23448,0.33686,0.41931,0.39318,0.49237,0.56011,0.66667,0.87287,0.95699
