-0.04428,0.21819,0.35346,0.48929,0.75839,0.7101,0.7101,0.65524,0.7101,0.766
0.098369,0.12303,0.28506,0.20777,0.34203,0.3722,0.4971,0.55906,0.44773,0.44773
0.43658,0.49229,0.072912,0.42282,0.22932,0.55906,0.4971,0.42268,0.55679,0.42268
-0.078311,0.27918,0.26097,NaN,NaN,NaN,0.60613,0.50047,0.50047,0.50047
-0.049593,0.17025,0.21941,0.52302,0.77073,0.6902,0.574,0.574,0.62642,0.574
0.078554,0.17025,0.10931,0.32283,0.24041,0.1633,0.53879,0.36842,0.40162,0.33902
-0.054615,0.28203,0.4551,0.38995,0.38995,0.34336,0.44601,0.38995,0.44292,0.64799
0.49423,0.25896,0.74208,0.40471,0.54243,0.58276,0.78792,0.63755,0.58276,0.76418
0.3562,0.28203,0.054256,0.26475,0.39826,0.58756,0.60741,0.54095,0.54095,0.46511
-0.058705,0.27603,0.21709,0.38998,0.66935,0.45206,0.40538,0.45206,0.45206,0.56743
0.48059,0.25314,0.43677,0.50227,0.45783,0.54467,0.54467,0.50227,0.6995,0.74975
0.29378,0.33148,0.16988,0.53504,0.4543,0.45956,0.36893,0.49553,0.63835,0.47829
-0.066503,0.44262,0.6216,0.44363,0.59619,0.63863,0.68834,0.68854,0.64989,0.68854
0.29768,0.26462,0.36118,0.40854,0.60811,0.65332,0.64659,0.6326,0.7047,0.7047
0.29898,0.43939,0.23547,0.3777,0.18161,0.3777,0.31677,0.31677,0.47049,0.3925
0.15714,0.28711,0.13869,0.48835,0.49068,0.31925,0.31925,0.38892,0.38892,0.4086
0.2883,0.12389,0.17275,0.39119,0.45192,0.57114,0.5698,0.54884,0.62177,0.60481
0.26331,0.13999,0.11074,0.31285,0.42788,0.43595,0.37222,0.4202,0.55918,0.48339
0.076205,0.21169,0.1346,0.11753,0.21142,0.23753,0.26562,0.23614,0.34922,0.44679
0.11804,0.20734,0.19513,0.055706,0.13173,0.2036,0.087389,0.13421,0.4005,0.41109
0.11658,0.015755,0.066673,0.24278,0.097481,0.15085,0.21062,0.10999,0.1642,0.086406
-0.020981,-0.010768,0.061074,0.24364,0.235,0.22968,0.28083,0.20705,0.24484,0.38992
0.071916,0.01429,0.028213,0.044395,-0.026975,0.049239,0.052695,0.010956,-0.036795,0.17602
0.047025,0.23138,0.12932,0.096182,-0.022877,-0.031537,-0.050133,-0.13869,-0.065643,0.077085
0.13721,0.13209,0.28226,0.10737,0.10737,0.1789,0.14296,0.05944,-0.020509,0.071809
