0,0,0,0,0.42857,0,0.42857,0,0,0,0,0
0,0,0.27217,0.14744,0,0.27217,0,0,0,0.42857,0,0.42857
0,0,0,0,0,0,0,0,0.42857,0,0.42857,0
0,0,0,0,0,0,0,0.75794,0.61237,0,0,0
0,0.55277,0.55277,0,0.38686,0,0,0.55277,0.55277,0.55277,0,0
0,0,0,0.38686,0,0.38686,0.38686,0,0.38686,0,0.38686,0.38686
0,0.50592,0,0,0,0,0,0.38347,0.50592,0,0.50592,0
0,0,0.38347,0.093483,0.38312,0.20575,0,0,0,0,0,0
0,0,0,0,0,0,0.21178,0.35407,0,0.35407,0,0
0,0.57888,0,0,0,0.34917,0.46771,0.40007,0.57888,0.57888,0,0.47457
0,0,0.32733,0.57888,0.11945,0,0,0,0,0,0.32733,0
0,0.30491,0.30491,0.43568,0.36441,0.30491,0.24562,0.30491,0.30491,0.30491,0.30491,0.30491
0,0.40825,0.50529,0.50529,0.58977,0.58977,0.5,0.58977,0.5,0.43082,0.43082,0.43082
0,0.38435,0.47572,0.47572,0.55525,0.46671,0.46671,0.55525,0.55525,0.39818,0.39818,0.39818
0,0,0,0,0,0,0,0.26899,0.26899,0,0,0
0,0.36324,0.25422,0.36324,0.35213,0.36324,0.36324,0.36324,0.36324,0.36324,0.36324,0.36324
0,0.22116,0.22116,0.4001,0.44141,0.29873,0.20585,0.22116,0.22116,0.22116,0.22116,0.22116
0,0.12663,0.18094,0.26139,0.38686,0.30944,0.29547,0.18094,0.18094,0.18094,0.18094,0.18094
0,0.16667,0.11664,0.24077,0.29783,0.20412,0.21178,0.16667,0,0.16667,0.16667,0.16667
0,0.10714,0.15309,0.25,0.375,0.16667,0.18252,0.15309,0.15309,0.15309,0.15309,0.15309
0,0.10253,0.14651,0.23925,0.38118,0.14777,0.0051969,0.14651,0.14651,0.14651,0.14651,0.14651
0,0.097999,0.14003,0.20229,0.2098,0.098206,0.029655,0.14003,0.17331,0.14003,0.14003,0.14003
0,0.13363,0.13363,0.21822,0.1635,0.10911,0.13836,0.13363,0.1654,0.13363,0.13363,0.13363
0,0.12729,0.12729,0.18389,0.22366,0.17623,0.029161,0.12729,0.15755,0.12729,0.12729,0.12729
0,0.084678,0.12099,0.17479,0.27772,0.20473,0.10775,0.12099,-0.042239,0.12099,0.12099,0.12099
