-0.047619,0.39318,0.47722,0.49237,0.63892,0.63403,0.63403,0.58191,0.63403,0.90267,0.76376,0.63403,0.90267
0.42857,0.27217,0.61237,0.21822,0.25838,0.40007,0.49237,0.4419,0.49237,0.4419,0.53793,0.88465,0.69752
0.42857,0.42857,0.27217,0.39318,0.39318,0.49237,0.46671,0.58191,0.46671,0.69752,0.53793,0.69752,0.33333
-0.047619,-0.068041,0.42857,NaN,NaN,NaN,0.42857,0.61237,0.75794,0.75794,0.61237,0.75794,0.61237
-0.052753,0.34483,0.42501,0.43182,0.57169,0.5605,0.5605,0.51035,0.5605,0.81061,0.67823,0.5605,0.81061
0.38686,0.38686,0.2387,0.34483,0.34483,0.34247,0.51035,0.46778,0.36891,0.5605,0.26504,0.4166,0.31424
-0.057639,0.30594,0.38347,0.38312,0.4419,0.50166,0.4528,0.4528,0.4528,0.76725,0.66285,0.71113,0.83389
0.35407,0.35407,0.62618,0.02838,0.44807,0.48143,0.61003,0.56111,0.56111,0.61003,0.71113,0.91524,0.83389
0.35407,0.35407,0.21178,0.30594,0.4419,0.4528,0.56111,0.56111,0.39025,0.56111,0.28959,0.53796,0.34334
-0.062348,0.46771,0.46771,0.4528,0.51035,0.4528,0.4528,0.55357,0.61003,0.70238,0.69009,0.69009,0.78952
0.32733,0.32733,0.32733,0.27348,0.27348,0.40476,0.50552,0.46371,0.52117,0.64752,0.34168,0.31325,0.29939
0.30491,0.30491,0.17002,0.24562,0.24562,0.36352,0.41646,0.45799,0.50519,0.5935,0.33628,0.26329,0.23426
0.28571,0.40825,0.50529,0.40547,0.5,0.625,0.65561,0.54554,0.70007,0.65561,0.65561,0.75,0.77268
0.26899,0.38435,0.47572,0.37728,0.46671,0.55839,0.70007,0.56718,0.63657,0.67583,0.67583,0.71898,0.7859
0.26899,0.13797,0.26899,0.19932,0.30578,0.34229,0.37952,0.37952,0.49288,0.42669,0.36432,0.29844,0.21428
0.25422,0.36324,0.2524,0.35213,0.28098,0.31311,0.35213,0.42146,0.52117,0.42146,0.31579,NaN,NaN
0.15478,0.15478,0.27661,0.4001,0.4001,0.44141,0.40318,0.45926,0.4466,0.48518,0.55904,NaN,0.13185
0.12663,0.18094,0.16116,0.32733,0.32733,0.34247,0.31043,0.2151,0.31652,0.29599,0.36775,0.16116,0.16116
0.11664,0.16667,0.13608,0.30151,0.30151,0.36324,0.30619,0.2364,0.29756,0.27217,0.37589,0.17496,0.17496
0.10714,0.15309,0.11111,0.27696,0.27696,0.3239,0.27083,0.12729,0.33585,0.30208,0.35781,0.33686,0.19048
0.10253,0.14651,0.098513,0.26504,0.26504,0.30448,0.25332,0.10134,0.24777,0.27443,0.38104,0.31879,0.19904
0.097999,0.14003,0.085749,0.25332,0.25332,0.30888,0.21113,0.16841,0.28676,0.33585,0.47259,0.40231,0.20825
0.093522,0.13363,0.072739,0.24175,0.24175,0.28855,0.18905,0.14286,0.26197,0.30914,0.35635,0.42857,0.21822
0.089087,0.12729,0.059391,0.23028,0.23028,0.26809,0.16654,0.11664,0.25953,0.28211,0.32733,0.51942,0.22908
0.084678,0.12099,0.045596,0.21889,0.21889,0.2474,0.14345,0.089549,0.28855,0.25458,0.27618,0.49749,0.24101
