1261,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,55,0,66,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,3,0,76,18,0,0,0,175,0,211,0,0,67,0,0,0,0,0,0,1,0,1,0,1,5,5,0,1,102,4,26,0,9,0,0,0,0,1,0,0,0,1,0,0,0,76,0,0,0,0,0,0,0,8,0,178,0,1
16,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,206,1,0,7,1022,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,3,4,0,0,0,70,0,148,0,0,174,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,125,3,34,0,13,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,17,1,82,0,3
58,0,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2,0,4,525,0,0,0,0,0,2,0,0,0,0,14,0,0,0,10,11,0,33,0,0,0,0,20,2,0,0,0,47,0,14,0,0,44,0,0,0,0,0,3,0,0,1,0,0,9,2,0,0,123,0,10,3,73,0,0,0,0,0,0,0,0,52,0,0,0,26,0,0,0,0,0,0,0,5,0,57,0,12
26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3,0,0,104,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,6,0,0,0,0,45,0,11,0,0,119,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,124,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,7,0,35,0,2
2020,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,323,15,0,102,1589,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,58,14,0,0,0,69,0,95,0,0,68,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,141,1,28,0,14,0,0,1,0,0,0,0,0,3,0,0,0,15,0,0,0,1,0,1,0,0,0,142,0,1
0,0,53,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,10,0,0,312,5,0,0,2244,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,14,11,0,0,0,209,0,140,0,0,290,0,0,0,0,3,1,0,0,1,0,0,11,6,0,1,435,0,94,0,52,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,11,0,114,0,18
10,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,27,0,27,762,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,172,0,0,4,0,4,2,0,0,0,47,0,125,0,0,65,1,0,0,0,0,5,0,0,0,0,0,2,2,0,3,79,9,28,1,8,0,0,0,0,0,0,3,0,0,0,0,0,87,0,0,0,0,0,0,0,4,0,146,0,22
295,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,242,26,0,43,557,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,210,0,0,6,0,18,6,0,0,0,59,0,148,0,0,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,109,10,29,0,3,1,1,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,2,0,215,0,28
194,0,159,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,137,4,0,8,576,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,21,0,0,1,0,10,0,0,0,0,11,0,15,0,0,74,0,0,0,0,65,0,0,0,0,0,0,2,0,0,0,72,2,49,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,129,0,13
48,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,302,5,0,5,939,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,99,0,0,1,0,11,1,0,0,0,7,0,22,0,0,124,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,71,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,92,0,0
