0,0,0,0,0,15,0,0,0,16,1030,10,13,0,9,0,487,0,0,27,0,56,6,0,0,0,0,0,8,0,16,0,400,0,8,0,92,0,75,102,1800,0,36,8,70,0,180,0,0,0,0,0,0,0,179,0,0,88,0,0,0,56,0,0,0,0,6,92,152,0,0,0,0,0,0,0,0,62,0,0,0,4,0,80,49,51,0,0,0,44,0,0,344,12,46,199,0,9,0,0
33,54,0,0,14,31,0,0,0,45,32,0,18,0,285,0,25,0,0,46,0,1,11,0,20,0,21,0,60,20,0,0,35,0,0,0,21,0,43,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,0,0,24,0,2,0,17,0,0,0,0,0,0,0,91,0,60,0,0,34,0,58,25,50,0,0,0,42,0,112,66,45,12,135,0,0,0,0
3,0,0,0,0,27,0,20,0,38,5,0,41,0,13,223,2,4,0,93,0,23,0,0,0,0,0,0,128,0,0,0,0,0,30,0,7,0,0,0,0,0,51,0,4,0,0,0,0,13,0,0,0,0,0,26,0,19,36,0,0,5,0,1,9,0,16,0,2,0,0,0,31,0,0,0,0,0,0,32,0,61,0,29,38,1,0,0,0,34,44,0,343,17,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,82,444,0,164,0,36,0,391,0,0,0,572,835,157,0,0,0,0,0,54,0,0,0,0,0,870,0,639,531,246,0,0,0,1241,0,227,0,0,710,0,0,0,0,0,0,0,491,121,0,0,0,0,115,242,146,0,0,559,0,222,0,0,18,728,128,711,0,1047,0,0,0,0,0,0,138,1208,189,0,0,0,795,318,139,386,506,0,247,0,2,0,0
0,0,38,0,164,17,30,0,0,17,0,0,4,154,1,0,58,150,0,0,0,35,36,0,0,0,0,0,107,0,401,0,0,0,0,0,7,46,47,0,74,339,86,18,170,0,83,0,0,59,0,0,0,0,55,0,0,162,0,0,0,52,0,0,16,0,1298,125,35,80,0,0,0,0,0,0,0,0,0,0,22,196,0,316,88,20,227,0,0,189,0,0,593,16,0,41,123,0,0,0
0,0,0,0,0,39,0,0,0,141,0,0,24,0,223,0,953,0,0,134,0,644,182,0,0,0,0,0,481,0,0,0,676,0,0,0,625,0,476,0,0,0,763,956,418,0,123,813,0,0,0,0,0,0,572,189,0,0,0,0,0,695,0,0,0,320,1091,0,313,0,1114,0,1355,0,37,542,0,163,0,367,0,1499,0,38,163,439,0,0,0,815,0,555,1516,178,0,293,0,0,0,307
0,112,0,0,0,0,0,0,0,27,0,0,15,0,178,0,220,23,0,58,0,154,20,765,0,0,0,0,208,0,0,0,61,0,4,0,9,0,43,0,0,0,16,0,74,0,0,0,0,163,0,0,0,0,0,0,0,580,0,0,0,889,89,0,121,0,91,0,150,0,0,0,0,0,0,0,0,0,0,0,0,54,0,138,77,218,0,0,0,107,29,3,29,254,62,151,0,0,0,0
87,0,26,0,23,248,69,0,0,25,0,0,7,0,20,37,11,0,0,0,0,9,20,0,0,0,0,0,7,0,0,0,54,0,0,0,6,41,579,0,0,0,47,1,33,45,0,0,0,21,0,0,0,0,0,0,0,0,0,0,84,2,0,8,0,52,11,121,115,0,0,0,44,0,0,0,0,0,0,235,41,0,0,13,8,55,0,0,0,4,0,0,0,2,0,10,0,42,1,0
0,0,0,0,0,149,0,0,0,94,0,0,198,382,249,0,338,0,0,4,0,74,366,0,53,0,0,0,28,1281,515,0,0,0,9,0,291,0,134,0,0,0,311,0,93,0,508,0,0,857,0,0,0,0,0,106,865,0,0,0,0,309,416,0,52,24,2,0,17,0,58,0,0,0,0,0,0,0,0,0,0,0,0,109,23,441,0,57,0,195,0,0,549,157,0,9,0,0,0,373
56,0,0,0,499,0,0,0,0,151,52,0,53,0,1316,0,4,0,0,0,167,76,12,0,0,0,0,0,20,0,0,0,0,61,205,0,33,0,110,0,0,0,111,0,145,0,48,0,0,0,0,0,0,0,347,0,0,112,0,0,0,29,2155,0,0,0,26,0,243,0,186,0,0,1213,137,0,0,27,103,174,0,0,0,177,2,250,0,0,0,52,199,0,81,137,0,95,0,147,0,417
0,0,0,0,0,465,0,0,0,337,266,0,210,125,1571,0,96,0,0,0,0,68,181,0,0,0,0,0,274,266,0,0,0,0,0,0,138,0,262,0,0,498,395,222,57,235,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,446,332,0,0,0,51,0,41,0,0,99,0,0,0,9,0,84,0,0,747,0,0,795,336,0,0,0,0,75,0,162,43,132,131,231,0,0,287,0
